master_project_id,master_project_name,snapshot_id,project_id,project_match_key,budget_year,project_name,agency,agency_group,government_sector,work_category,delivery_status,program_group,location,start_period,start_year,start_disclosed,completion_period,completion_year,completion_disclosed,estimated_total_cost_000,total_cost_disclosed,estimated_expenditure_to_june_000,expenditure_disclosed,annual_allocation_000,allocation_disclosed,source_file,source_page,source_row_top
MASTER-0001,"Heathcote Road, The Avenue to Princes Highway",BUD-0068923BF1-2024-25,BUD-0068923BF1,Transport for NSW|heathcote road the avenue to princes highway planning,2024-25,Heathcote Road - The Avenue to Princes Highway (Planning),Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Connecting Sydney Roads,Various,n.a.,,False,n.a.,,False,,False,4006,True,2500,True,bp3-infrastructure-statement-2024-25.pdf,142,254.602
MASTER-0048,Elizabeth Drive Upgrades (State and Federal Funded)(c),BUD-414C68472D-2024-25,BUD-414C68472D,Transport for NSW|elizabeth drive upgrades state and federal funded,2024-25,Elizabeth Drive Upgrades (State and Federal Funded)(f),Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Connecting Sydney Roads,Various,n.a.,,False,n.a.,,False,,False,13300,True,55000,True,bp3-infrastructure-statement-2024-25.pdf,142,190.50199999999995
MASTER-0048,Elizabeth Drive Upgrades (State and Federal Funded)(c),BUD-414C68472D-2025-26,BUD-414C68472D,Transport for NSW|elizabeth drive upgrades state and federal funded,2025-26,Elizabeth Drive Upgrades (State and Federal Funded)(d),Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Connecting Sydney Roads,Various,n.a.,,False,n.a.,,False,,False,17441,True,18863,True,bp3-infrastructure-statement-nsw-budget-2025-26.pdf,153,319.672
MASTER-0048,Elizabeth Drive Upgrades (State and Federal Funded)(c),BUD-414C68472D-2026-27,BUD-414C68472D,Transport for NSW|elizabeth drive upgrades state and federal funded,2026-27,Elizabeth Drive Upgrades (State and Federal Funded)(c),Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Connecting Sydney Roads,Various,n.a.,,False,n.a.,,False,,False,32653,True,187406,True,bp3-infrastructure-statement-nsw-budget-2026-27.pdf,150,190.68499999999997
MASTER-0049,Other Works,BUD-414CC9D7FB-2026-27,BUD-414CC9D7FB,Transport Asset Manager/Holding Entity NSW|other works,2026-27,Other Works,Transport Asset Manager New South Wales (TAM),Transport Asset Manager/Holding Entity NSW,public_non_financial_corporation,Major Works,Works in Progress,,Various,n.a.,,False,n.a.,,False,,False,,False,50000,True,bp3-infrastructure-statement-nsw-budget-2026-27.pdf,164,222.03499999999997
MASTER-0050,Princes Highway Upgrade Program Corridor - Safety and Productivity Upgrades,BUD-426534E52A-2024-25,BUD-426534E52A,Transport for NSW|princes highway upgrade program corridor safety and productivity upgrades,2024-25,Princes Highway Upgrade Program Corridor - Safety and Productivity Upgrades,Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Princes Corridor,Nowra - Moruya,n.a.,,False,n.a.,,False,,False,,False,15760,True,bp3-infrastructure-statement-2024-25.pdf,146,262.2819999999999
MASTER-0050,Princes Highway Upgrade Program Corridor - Safety and Productivity Upgrades,BUD-426534E52A-2025-26,BUD-426534E52A,Transport for NSW|princes highway upgrade program corridor safety and productivity upgrades,2025-26,Princes Highway Upgrade Program Corridor - Safety and Productivity Upgrades,Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Princes Corridor,Nowra - Moruya,n.a.,,False,n.a.,,False,,False,,False,10400,True,bp3-infrastructure-statement-nsw-budget-2025-26.pdf,157,263.24199999999996
MASTER-0050,Princes Highway Upgrade Program Corridor - Safety and Productivity Upgrades,BUD-426534E52A-2026-27,BUD-426534E52A,Transport for NSW|princes highway upgrade program corridor safety and productivity upgrades,2026-27,Princes Highway Upgrade Program Corridor - Safety and Productivity Upgrades,Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Princes Corridor,Nowra - Moruya,n.a.,,False,n.a.,,False,,False,,False,21907,True,bp3-infrastructure-statement-nsw-budget-2026-27.pdf,153,662.245
MASTER-0051,Golden Highway Improvements,BUD-43464B1FCF-2024-25,BUD-43464B1FCF,Transport for NSW|golden highway improvements,2024-25,Golden Highway Improvements,Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Regional Roads Fund,Various,n.a.,,False,n.a.,,False,,False,,False,2000,True,bp3-infrastructure-statement-2024-25.pdf,146,348.23199999999997
MASTER-0051,Golden Highway Improvements,BUD-43464B1FCF-2025-26,BUD-43464B1FCF,Transport for NSW|golden highway improvements,2025-26,Golden Highway Improvements,Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Regional Roads Fund,Various,n.a.,,False,n.a.,,False,,False,,False,1000,True,bp3-infrastructure-statement-nsw-budget-2025-26.pdf,157,349.19199999999995
MASTER-0052,South West Sydney Rail Planning-Business Case (State and Federal Funded)(a),BUD-4448787F3E-2024-25,BUD-4448787F3E,Sydney Metro|south west sydney rail planning business case state and federal funded,2024-25,South West Sydney Rail Planning-Business Case (State and Federal Funded)(a),Sydney Metro,Sydney Metro,general_government,Major Works,Works in Progress,,Bradfield - Leppington/ Campbelltown,2022,2022,True,2026,2026,True,,False,35001,True,46000,True,bp3-infrastructure-statement-2024-25.pdf,148,240.03783999999996
MASTER-0052,South West Sydney Rail Planning-Business Case (State and Federal Funded)(a),BUD-4448787F3E-2025-26,BUD-4448787F3E,Sydney Metro|south west sydney rail planning business case state and federal funded,2025-26,South West Sydney Rail Planning- Business Case (State and Federal Funded)(a),Sydney Metro,Sydney Metro,general_government,Major Works,Works in Progress,,Bradfield - Leppington/ Campbelltown,2022,2022,True,2026,2026,True,,False,39183,True,27000,True,bp3-infrastructure-statement-nsw-budget-2025-26.pdf,159,163.62199999999996
MASTER-0052,South West Sydney Rail Planning-Business Case (State and Federal Funded)(a),BUD-4448787F3E-2026-27,BUD-4448787F3E,Sydney Metro|south west sydney rail planning business case state and federal funded,2026-27,South West Sydney Rail Planning-Business Case (State and Federal Funded)(a),Sydney Metro,Sydney Metro,general_government,Major Works,Works in Progress,,Bradfield - Leppington/ Campbelltown,2022,2022,True,2026,2026,True,,False,58628,True,7555,True,bp3-infrastructure-statement-nsw-budget-2026-27.pdf,155,303.9949999999999
MASTER-0053,M5 Motorway - Moorebank Avenue - Hume Highway Intersection Upgrade (State and Federal Funded),BUD-459AC1EDBE-2024-25,BUD-459AC1EDBE,Transport for NSW|m5 motorway moorebank avenue hume highway intersection upgrade state and federal funded,2024-25,M5 Motorway - Moorebank Avenue - Hume Highway Intersection Upgrade (State and Federal Funded),Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Sydney Motorways,Moorebank,n.a.,,False,n.a.,,False,,False,16553,True,7371,True,bp3-infrastructure-statement-2024-25.pdf,146,514.592
MASTER-0053,M5 Motorway - Moorebank Avenue - Hume Highway Intersection Upgrade (State and Federal Funded),BUD-459AC1EDBE-2025-26,BUD-459AC1EDBE,Transport for NSW|m5 motorway moorebank avenue hume highway intersection upgrade state and federal funded,2025-26,M5 Motorway - Moorebank Avenue - Hume Highway Intersection Upgrade (State and Federal Funded),Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Sydney Motorways,Moorebank,n.a.,,False,n.a.,,False,,False,27406,True,13586,True,bp3-infrastructure-statement-nsw-budget-2025-26.pdf,157,555.182
MASTER-0053,M5 Motorway - Moorebank Avenue - Hume Highway Intersection Upgrade (State and Federal Funded),BUD-459AC1EDBE-2026-27,BUD-459AC1EDBE,Transport for NSW|m5 motorway moorebank avenue hume highway intersection upgrade state and federal funded,2026-27,M5 Motorway - Moorebank Avenue - Hume Highway Intersection Upgrade (State and Federal Funded),Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Sydney Motorways,Moorebank,n.a.,,False,n.a.,,False,380000,True,110922,True,102579,True,bp3-infrastructure-statement-nsw-budget-2026-27.pdf,154,383.4549999999999
MASTER-0054,Henry Lawson Drive Upgrade Stage 1A,BUD-45FC0ADBD6-2024-25,BUD-45FC0ADBD6,Transport for NSW|henry lawson drive upgrade stage 1a,2024-25,Henry Lawson Drive Upgrade Stage 1A,Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Connecting Sydney Roads,Milperra,n.a.,,False,2026,2026,True,136500,True,68613,True,33459,True,bp3-infrastructure-statement-2024-25.pdf,142,328.072
MASTER-0054,Henry Lawson Drive Upgrade Stage 1A,BUD-45FC0ADBD6-2025-26,BUD-45FC0ADBD6,Transport for NSW|henry lawson drive upgrade stage 1a,2025-26,Henry Lawson Drive Upgrade Stage 1A,Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Connecting Sydney Roads,Milperra,n.a.,,False,2026,2026,True,136500,True,112249,True,21714,True,bp3-infrastructure-statement-nsw-budget-2025-26.pdf,153,508.352
MASTER-0055,Alphadale Crossroads,BUD-46C8180649-2024-25,BUD-46C8180649,Transport for NSW|alphadale crossroads,2024-25,Alphadale Crossroads,Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Regional Roads Fund,Lismore,n.a.,,False,n.a.,,False,,False,,False,1000,True,bp3-infrastructure-statement-2024-25.pdf,146,314.2278399999999
MASTER-0055,Alphadale Crossroads,BUD-46C8180649-2025-26,BUD-46C8180649,Transport for NSW|alphadale crossroads,2025-26,Alphadale Crossroads,Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Regional Roads Fund,Lismore,n.a.,,False,n.a.,,False,,False,100,True,1000,True,bp3-infrastructure-statement-nsw-budget-2025-26.pdf,157,317.99199999999996
MASTER-0055,Alphadale Crossroads,BUD-46C8180649-2026-27,BUD-46C8180649,Transport for NSW|alphadale crossroads,2026-27,Alphadale Crossroads,Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Regional Roads Fund,Lismore,n.a.,,False,n.a.,,False,,False,67,True,2000,True,bp3-infrastructure-statement-nsw-budget-2026-27.pdf,154,219.15499999999997
MASTER-0056,Gosford Bypass (Planning and Design),BUD-47B24AD725-2024-25,BUD-47B24AD725,Transport for NSW|gosford bypass planning and design,2024-25,Gosford Bypass - Planning and Design,Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Regional Roads Fund,Gosford,n.a.,,False,n.a.,,False,,False,,False,3000,True,bp3-infrastructure-statement-2024-25.pdf,146,363.4478399999999
MASTER-0056,Gosford Bypass (Planning and Design),BUD-47B24AD725-2025-26,BUD-47B24AD725,Transport for NSW|gosford bypass planning and design,2025-26,Gosford Bypass (Planning and Design),Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Regional Roads Fund,Gosford,n.a.,,False,n.a.,,False,,False,,False,3000,True,bp3-infrastructure-statement-nsw-budget-2025-26.pdf,157,364.572
MASTER-0056,Gosford Bypass (Planning and Design),BUD-47B24AD725-2026-27,BUD-47B24AD725,Transport for NSW|gosford bypass planning and design,2026-27,Gosford Bypass (Planning and Design),Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Regional Roads Fund,Gosford,n.a.,,False,n.a.,,False,,False,9291,True,10792,True,bp3-infrastructure-statement-nsw-budget-2026-27.pdf,154,234.755
MASTER-0057,Parramatta Class Ferries,BUD-48D950F24B-2025-26,BUD-48D950F24B,Sydney Ferries|parramatta class ferries,2025-26,Parramatta Class Ferries,Sydney Ferries,Sydney Ferries,public_non_financial_corporation,Major Works,Works in Progress,,Various,2022,2022,True,2025,2025,True,49000,True,46931,True,1904,True,bp3-infrastructure-statement-nsw-budget-2025-26.pdf,168,573.902
MASTER-0058,Mariyung Fleet (New Intercity Fleet),BUD-497A5B5BF5-2024-25,BUD-497A5B5BF5,Transport Asset Manager/Holding Entity NSW|mariyung fleet new intercity fleet,2024-25,Mariyung Fleet (New Intercity Fleet),Transport Asset Holding Entity of New South Wales,Transport Asset Manager/Holding Entity NSW,public_non_financial_corporation,Major Works,Works in Progress,,Various,2014,2014,True,2024,2024,True,,False,3057394,True,276865,True,bp3-infrastructure-statement-2024-25.pdf,155,179.22199999999998
MASTER-0058,Mariyung Fleet (New Intercity Fleet),BUD-497A5B5BF5-2025-26,BUD-497A5B5BF5,Transport Asset Manager/Holding Entity NSW|mariyung fleet new intercity fleet,2025-26,Mariyung Fleet (New Intercity Fleet),Transport Asset Manager New South Wales,Transport Asset Manager/Holding Entity NSW,public_non_financial_corporation,Major Works,Works in Progress,,Various,2014,2014,True,n.a.,,False,,False,3316677,True,232592,True,bp3-infrastructure-statement-nsw-budget-2025-26.pdf,168,194.12199999999996
MASTER-0058,Mariyung Fleet (New Intercity Fleet),BUD-497A5B5BF5-2026-27,BUD-497A5B5BF5,Transport Asset Manager/Holding Entity NSW|mariyung fleet new intercity fleet,2026-27,Mariyung Fleet (New Intercity Fleet),Transport Asset Manager New South Wales (TAM),Transport Asset Manager/Holding Entity NSW,public_non_financial_corporation,Major Works,Works in Progress,,Various,2014,2014,True,n.a.,,False,,False,3492955,True,124522,True,bp3-infrastructure-statement-nsw-budget-2026-27.pdf,164,195.8449999999999
MASTER-0059,M1 Princes Motorway Entry and Exit Ramps (State and Federal Funded)(d),BUD-4A83D09FAB-2025-26,BUD-4A83D09FAB,Transport for NSW|m1 princes motorway entry and exit ramps state and federal funded,2025-26,M1 Princes Motorway Entry and Exit Ramps (State and Federal Funded)(e),Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Regional Roads Fund,Dapto,n.a.,,False,n.a.,,False,,False,,False,11000,True,bp3-infrastructure-statement-nsw-budget-2025-26.pdf,157,390.732
MASTER-0059,M1 Princes Motorway Entry and Exit Ramps (State and Federal Funded)(d),BUD-4A83D09FAB-2026-27,BUD-4A83D09FAB,Transport for NSW|m1 princes motorway entry and exit ramps state and federal funded,2026-27,M1 Princes Motorway Entry and Exit Ramps (State and Federal Funded)(d),Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Regional Roads Fund,Dapto,n.a.,,False,n.a.,,False,,False,8111,True,5630,True,bp3-infrastructure-statement-nsw-budget-2026-27.pdf,154,260.91499999999996
MASTER-0060,Parramatta Light Rail Stage 1,BUD-4B5A1D8FEB-2024-25,BUD-4B5A1D8FEB,Transport for NSW|parramatta light rail stage 1,2024-25,Parramatta Light Rail Stage 1,Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Light Rail,Parramatta,n.a.,,False,2025,2025,True,2875000,True,2598721,True,135006,True,bp3-infrastructure-statement-2024-25.pdf,144,172.74199999999996
MASTER-0061,Duplicate Sections of Heathcote Road,BUD-4B7AFA71DA-2024-25,BUD-4B7AFA71DA,Transport for NSW|duplicate sections of heathcote road,2024-25,Duplicate Sections of Heathcote Road,Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Urban Roads Fund,Various,n.a.,,False,n.a.,,False,,False,,False,2000,True,bp3-infrastructure-statement-2024-25.pdf,146,719.3919999999999
MASTER-0061,Duplicate Sections of Heathcote Road,BUD-4B7AFA71DA-2025-26,BUD-4B7AFA71DA,Transport for NSW|duplicate sections of heathcote road,2025-26,Duplicate Sections of Heathcote Road,Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Urban Roads Fund,Various,n.a.,,False,n.a.,,False,,False,5000,True,15000,True,bp3-infrastructure-statement-nsw-budget-2025-26.pdf,157,693.232
MASTER-0061,Duplicate Sections of Heathcote Road,BUD-4B7AFA71DA-2026-27,BUD-4B7AFA71DA,Transport for NSW|duplicate sections of heathcote road,2026-27,Duplicate Sections of Heathcote Road,Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Urban Roads Fund,Various,n.a.,,False,n.a.,,False,,False,9994,True,33088,True,bp3-infrastructure-statement-nsw-budget-2026-27.pdf,154,521.605
MASTER-0062,"Great Western Highway, Coxs River Road (State and Federal Funded)",BUD-4BC1719981-2024-25,BUD-4BC1719981,Transport for NSW|great western highway coxs river road state and federal funded,2024-25,"Great Western Highway, Coxs River Road (State and Federal Funded)",Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Great Western Highway and Bells Line of Road,Lithgow,n.a.,,False,2025,2025,True,232000,True,,False,67258,True,bp3-infrastructure-statement-2024-25.pdf,143,517.982
MASTER-0063,Nelson Bay Road - Williamtown to Bobs Farm (State and Federal Funded),BUD-4D8E339A7A-2024-25,BUD-4D8E339A7A,Transport for NSW|nelson bay road williamtown to bobs farm state and federal funded,2024-25,Nelson Bay Road - Williamtown to Bobs Farm (State and Federal Funded),Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Connecting Regional NSW (Roads and Bridges),Williamtown,n.a.,,False,n.a.,,False,,False,,False,5000,True,bp3-infrastructure-statement-2024-25.pdf,141,740.9879999999999
MASTER-0063,Nelson Bay Road - Williamtown to Bobs Farm (State and Federal Funded),BUD-4D8E339A7A-2025-26,BUD-4D8E339A7A,Transport for NSW|nelson bay road williamtown to bobs farm state and federal funded,2025-26,Nelson Bay Road - Williamtown to Bobs Farm (State and Federal Funded),Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Connecting Regional NSW (Roads and Bridges),Williamtown,n.a.,,False,n.a.,,False,,False,500,True,4000,True,bp3-infrastructure-statement-nsw-budget-2025-26.pdf,152,722.2719999999999
MASTER-0063,Nelson Bay Road - Williamtown to Bobs Farm (State and Federal Funded),BUD-4D8E339A7A-2026-27,BUD-4D8E339A7A,Transport for NSW|nelson bay road williamtown to bobs farm state and federal funded,2026-27,Nelson Bay Road - Williamtown to Bobs Farm (State and Federal Funded),Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Connecting Regional NSW (Roads and Bridges),Williamtown,n.a.,,False,n.a.,,False,,False,1681,True,4526,True,bp3-infrastructure-statement-nsw-budget-2026-27.pdf,149,626.4849999999999
MASTER-0064,Speers Point Intersection(d),BUD-517B618087-2024-25,BUD-517B618087,Transport for NSW|speers point intersection,2024-25,Speers Point Intersection(g),Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Regional Roads Fund,Lake Macquarie,n.a.,,False,n.a.,,False,,False,,False,7800,True,bp3-infrastructure-statement-2024-25.pdf,146,415.5278399999999
MASTER-0064,Speers Point Intersection(d),BUD-517B618087-2025-26,BUD-517B618087,Transport for NSW|speers point intersection,2025-26,Speers Point Intersection(e),Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Regional Roads Fund,Lake Macquarie,n.a.,,False,n.a.,,False,,False,,False,5129,True,bp3-infrastructure-statement-nsw-budget-2025-26.pdf,157,427.362
MASTER-0064,Speers Point Intersection(d),BUD-517B618087-2026-27,BUD-517B618087,Transport for NSW|speers point intersection,2026-27,Speers Point Intersection(d),Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Regional Roads Fund,Lake Macquarie,n.a.,,False,n.a.,,False,,False,3870,True,12130,True,bp3-infrastructure-statement-nsw-budget-2026-27.pdf,154,297.332
MASTER-0065,South West Sydney Roads (Planning) (State and Federal Funded),BUD-51F7A09AF8-2024-25,BUD-51F7A09AF8,Transport for NSW|south west sydney roads planning state and federal funded,2024-25,South West Sydney Roads - Planning (State and Federal Funded),Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Other Major Programs,Various,n.a.,,False,n.a.,,False,,False,,False,5000,True,bp3-infrastructure-statement-2024-25.pdf,145,324.472
MASTER-0065,South West Sydney Roads (Planning) (State and Federal Funded),BUD-51F7A09AF8-2025-26,BUD-51F7A09AF8,Transport for NSW|south west sydney roads planning state and federal funded,2025-26,South West Sydney Roads (Planning) (State and Federal Funded),Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Other Major Programs,Various,n.a.,,False,n.a.,,False,,False,1700,True,19000,True,bp3-infrastructure-statement-nsw-budget-2025-26.pdf,156,299.51199999999994
MASTER-0065,South West Sydney Roads (Planning) (State and Federal Funded),BUD-51F7A09AF8-2026-27,BUD-51F7A09AF8,Transport for NSW|south west sydney roads planning state and federal funded,2026-27,South West Sydney Roads (Planning) (State and Federal Funded),Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Other Major Programs,Various,n.a.,,False,n.a.,,False,,False,13040,True,13800,True,bp3-infrastructure-statement-nsw-budget-2026-27.pdf,152,765.8249999999999
MASTER-0066,Picton Road Upgrade (Planning) (State and Federal Funded),BUD-5385E893C1-2024-25,BUD-5385E893C1,Transport for NSW|picton road upgrade planning state and federal funded,2024-25,Picton Road Upgrade (Planning) (State and Federal Funded),Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Other Major Programs,Picton,n.a.,,False,n.a.,,False,,False,35438,True,6467,True,bp3-infrastructure-statement-2024-25.pdf,145,235.40199999999993
MASTER-0066,Picton Road Upgrade (Planning) (State and Federal Funded),BUD-5385E893C1-2025-26,BUD-5385E893C1,Transport for NSW|picton road upgrade planning state and federal funded,2025-26,Picton Road Upgrade (Planning) (State and Federal Funded),Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Other Major Programs,Picton,n.a.,,False,n.a.,,False,,False,45530,True,24852,True,bp3-infrastructure-statement-nsw-budget-2025-26.pdf,156,131.942
MASTER-0066,Picton Road Upgrade (Planning) (State and Federal Funded),BUD-5385E893C1-2026-27,BUD-5385E893C1,Transport for NSW|picton road upgrade planning state and federal funded,2026-27,Picton Road Upgrade (Planning) (State and Federal Funded),Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Other Major Programs,Picton,n.a.,,False,n.a.,,False,,False,57510,True,7577,True,bp3-infrastructure-statement-nsw-budget-2026-27.pdf,152,661.165
MASTER-0067,Active Transport,BUD-55D1E30739-2024-25,BUD-55D1E30739,Transport for NSW|active transport,2024-25,Active Transport,Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Other Major Programs,Various,n.a.,,False,n.a.,,False,,False,234443,True,45515,True,bp3-infrastructure-statement-2024-25.pdf,144,622.882
MASTER-0067,Active Transport,BUD-55D1E30739-2025-26,BUD-55D1E30739,Transport for NSW|active transport,2025-26,Active Transport,Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Other Major Programs,Various,n.a.,,False,n.a.,,False,,False,274618,True,39232,True,bp3-infrastructure-statement-nsw-budget-2025-26.pdf,155,589.0219999999999
MASTER-0067,Active Transport,BUD-55D1E30739-2026-27,BUD-55D1E30739,Transport for NSW|active transport,2026-27,Active Transport,Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Other Major Programs,Various,n.a.,,False,n.a.,,False,,False,239082,True,30534,True,bp3-infrastructure-statement-nsw-budget-2026-27.pdf,152,357.87499999999994
MASTER-0068,"Pacific Highway, Harrington Road / Coopernook Road interchange",BUD-5A075AA97B-2025-26,BUD-5A075AA97B,Transport for NSW|pacific highway harrington road intersection upgrade coopernook state and federal funded,2025-26,"Pacific Highway - Harrington Road Intersection Upgrade, Coopernook (State and Federal Funded)",Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Pacific Corridor,Coopernook,n.a.,,False,n.a.,,False,,False,6141,True,5673,True,bp3-infrastructure-statement-nsw-budget-2025-26.pdf,156,605.602
MASTER-0068,"Pacific Highway, Harrington Road / Coopernook Road interchange",BUD-5A075AA97B-2026-27,BUD-5A075AA97B,Transport for NSW|pacific highway harrington road intersection upgrade coopernook state and federal funded,2026-27,"Pacific Highway - Harrington Road Intersection Upgrade, Coopernook (State and Federal Funded)",Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Pacific Corridor,Coopernook,n.a.,,False,n.a.,,False,,False,12542,True,5717,True,bp3-infrastructure-statement-nsw-budget-2026-27.pdf,153,392.2149999999999
MASTER-0069,"Hillsborough Road, Warners Bay to Charlestown (Stage 1)(e)",BUD-5B36F2211F-2024-25,BUD-5B36F2211F,Transport for NSW|hillsborough road warners bay to charlestown stage 1,2024-25,"Hillsborough Road, Warners Bay to Charlestown (Stage 1)",Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Connecting Regional NSW (Roads and Bridges),Warners Bay,n.a.,,False,2027,2027,True,35000,True,7972,True,1450,True,bp3-infrastructure-statement-2024-25.pdf,141,610.1619999999999
MASTER-0069,"Hillsborough Road, Warners Bay to Charlestown (Stage 1)(e)",BUD-5B36F2211F-2025-26,BUD-5B36F2211F,Transport for NSW|hillsborough road warners bay to charlestown stage 1,2025-26,"Hillsborough Road, Warners Bay to Charlestown (Stage 1)",Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Connecting Regional NSW (Roads and Bridges),Warners Bay,n.a.,,False,2027,2027,True,35000,True,10716,True,5728,True,bp3-infrastructure-statement-nsw-budget-2025-26.pdf,152,628.1619999999999
MASTER-0069,"Hillsborough Road, Warners Bay to Charlestown (Stage 1)(e)",BUD-5B36F2211F-2026-27,BUD-5B36F2211F,Transport for NSW|hillsborough road warners bay to charlestown stage 1,2026-27,"Hillsborough Road, Warners Bay to Charlestown (Stage 1)(e)",Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Connecting Regional NSW (Roads and Bridges),Warners Bay,n.a.,,False,2027,2027,True,36900,True,16845,True,20015,True,bp3-infrastructure-statement-nsw-budget-2026-27.pdf,149,511.25499999999994
MASTER-0070,"Central Coast Highway, Tumbi Road Intersection Upgrade (State and Federal Funded)",BUD-5D4D5C4FC7-2024-25,BUD-5D4D5C4FC7,Transport for NSW|central coast highway tumbi road intersection upgrade state and federal funded,2024-25,"Central Coast Highway, Tumbi Road Intersection Upgrade (State and Federal Funded)",Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Connecting Central Coast Roads,Wamberal - Bateau Bay,n.a.,,False,n.a.,,False,,False,10904,True,1779,True,bp3-infrastructure-statement-2024-25.pdf,141,174.90199999999993
MASTER-0070,"Central Coast Highway, Tumbi Road Intersection Upgrade (State and Federal Funded)",BUD-5D4D5C4FC7-2025-26,BUD-5D4D5C4FC7,Transport for NSW|central coast highway tumbi road intersection upgrade state and federal funded,2025-26,"Central Coast Highway, Tumbi Road Intersection Upgrade (State and Federal Funded)",Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Connecting Central Coast Roads,Wamberal - Bateau Bay,n.a.,,False,2028,2028,True,65500,True,15145,True,15508,True,bp3-infrastructure-statement-nsw-budget-2025-26.pdf,152,211.88199999999995
MASTER-0070,"Central Coast Highway, Tumbi Road Intersection Upgrade (State and Federal Funded)",BUD-5D4D5C4FC7-2026-27,BUD-5D4D5C4FC7,Transport for NSW|central coast highway tumbi road intersection upgrade state and federal funded,2026-27,"Central Coast Highway, Tumbi Road Intersection Upgrade (State and Federal Funded)",Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Connecting Central Coast Roads,Wamberal - Bateau Bay,n.a.,,False,2028,2028,True,65500,True,30958,True,18222,True,bp3-infrastructure-statement-nsw-budget-2026-27.pdf,149,231.15499999999997
MASTER-0071,"New England Highway, Singleton Bypass (State and Federal Funded)",BUD-5D97035C08-2024-25,BUD-5D97035C08,Transport for NSW|new england highway singleton bypass state and federal funded,2024-25,"New England Highway, Singleton Bypass (State and Federal Funded)",Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,New England Corridor,Singleton,n.a.,,False,2026,2026,True,700000,True,125656,True,191392,True,bp3-infrastructure-statement-2024-25.pdf,144,340.072
MASTER-0071,"New England Highway, Singleton Bypass (State and Federal Funded)",BUD-5D97035C08-2025-26,BUD-5D97035C08,Transport for NSW|new england highway singleton bypass state and federal funded,2025-26,"New England Highway, Singleton Bypass (State and Federal Funded)",Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,New England Corridor,Singleton,n.a.,,False,2026,2026,True,700000,True,339927,True,179503,True,bp3-infrastructure-statement-nsw-budget-2025-26.pdf,155,358.81199999999995
